"Date","Price","Open","High","Low","Vol.","Change %"
"06/24/2022","1.1614","1.1647","1.1682","1.1618","202.65K","-0.27%"
"06/23/2022","1.1645","1.1610","1.1667","1.1568","269.29K","0.34%"
"06/22/2022","1.1606","1.1660","1.1666","1.1592","203.03K","-0.45%"
"06/21/2022","1.1659","1.1661","1.1674","1.1611","193.56K","0.06%"
"06/20/2022","1.1652","1.1674","1.1674","1.1609","185.92K","0.11%"
"06/17/2022","1.1639","1.1710","1.1736","1.1632","247.77K","-0.56%"
"06/16/2022","1.1704","1.1661","1.1750","1.1580","315.73K","0.39%"
"06/15/2022","1.1658","1.1519","1.1679","1.1463","246.37K","1.25%"
"06/14/2022","1.1514","1.1661","1.1696","1.1472","225.21K","-1.18%"
"06/13/2022","1.1651","1.1715","1.1724","1.1633","191.19K","-0.47%"
"06/10/2022","1.1706","1.1768","1.1782","1.1694","181.66K","-0.48%"
"06/09/2022","1.1763","1.1703","1.1787","1.1636","183.44K","0.55%"
"06/08/2022","1.1699","1.1768","1.1772","1.1674","160.94K","-0.53%"
"06/07/2022","1.1761","1.1718","1.1777","1.1647","171.29K","0.39%"
"06/06/2022","1.1715","1.1656","1.1732","1.1640","160.67K","0.58%"
"06/03/2022","1.1648","1.1704","1.1714","1.1646","107.92K","-0.44%"
"06/02/2022","1.1699","1.1731","1.1753","1.1694","135.58K","-0.22%"
"06/01/2022","1.1725","1.1741","1.1765","1.1702","157.12K","-0.09%"
"05/31/2022","1.1735","1.1739","1.1783","1.1725","185.48K","0.01%"
"05/30/2022","1.1734","1.1753","1.1774","1.1723","139.55K","-0.20%"
"05/27/2022","1.1757","1.1746","1.1794","1.1731","171.83K","0.15%"
"05/26/2022","1.1739","1.1761","1.1789","1.1723","183.42K","-0.18%"
"05/25/2022","1.1760","1.1674","1.1786","1.1669","209.54K","0.76%"
"05/24/2022","1.1671","1.1775","1.1796","1.1643","192.25K","-0.85%"
"05/23/2022","1.1771","1.1812","1.1861","1.1757","179.84K","-0.41%"
"05/20/2022","1.1819","1.1769","1.1840","1.1767","198.52K","0.46%"
"05/19/2022","1.1765","1.1788","1.1841","1.1768","215.44K","-0.17%"
"05/18/2022","1.1785","1.1844","1.1858","1.1767","202.21K","-0.45%"
"05/17/2022","1.1838","1.1806","1.1917","1.1796","203.55K","0.29%"
"05/16/2022","1.1804","1.1786","1.1814","1.1716","183.13K","0.27%"
"05/13/2022","1.1772","1.1755","1.1786","1.1723","197.06K","0.18%"
"05/12/2022","1.1751","1.1654","1.1779","1.1601","259.26K","0.87%"
"05/11/2022","1.1650","1.1705","1.1733","1.1635","239.00K","-0.44%"
"05/10/2022","1.1701","1.1681","1.1718","1.1655","208.40K","0.20%"
"05/09/2022","1.1678","1.1692","1.1745","1.1665","172.23K","-0.09%"
"05/06/2022","1.1688","1.1729","1.1754","1.1636","221.33K","-0.32%"
"05/05/2022","1.1726","1.1883","1.1899","1.1701","219.71K","-1.29%"
"05/04/2022","1.1879","1.1881","1.1913","1.1832","172.30K","0.03%"
"05/03/2022","1.1876","1.1892","1.1947","1.1860","170.55K","-0.11%"
"05/02/2022","1.1889","1.1940","1.1954","1.1878","123.04K","-0.27%"
"04/29/2022","1.1921","1.1868","1.1934","1.1855","209.81K","0.51%"
"04/28/2022","1.1861","1.1892","1.1934","1.1817","196.65K","-0.19%"
"04/27/2022","1.1884","1.1823","1.1924","1.1808","192.98K","0.55%"
"04/26/2022","1.1819","1.1894","1.1918","1.1815","212.59K","-0.60%"
"04/25/2022","1.1890","1.1842","1.1911","1.1841","229.97K","-0.01%"
"04/22/2022","1.1891","1.2023","1.2032","1.1880","187.61K","-1.05%"
"04/21/2022","1.2017","1.2041","1.2056","1.1949","228.06K","-0.17%"
"04/20/2022","1.2037","1.2049","1.2075","1.1995","204.46K","-0.06%"
"04/19/2022","1.2044","1.2067","1.2081","1.2024","179.74K","-0.15%"
"04/18/2022","1.2062","1.2084","1.2087","1.2050","109.36K","-0.15%"
"04/15/2022","1.2080","1.2068","1.2106","1.2062","169.13K","0.14%"
"04/14/2022","1.2063","1.2047","1.2124","1.2025","201.23K","0.16%"
"04/13/2022","1.2044","1.2007","1.2048","1.1983","188.33K","0.36%"
"04/12/2022","1.2001","1.1974","1.2023","1.1958","149.97K","0.28%"
